uhhidfs,uhhidp,k1,k2,k3,k3_x,k4,k5,k51,k52,k53,k54,k55,k56,k57,k5_other,k6,k61,k62,k63,k64,k65,k66,k67,k68,k6_other,k7,k7_other
890,1002989,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,1,NA
891,3002734,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,2,NA
892,1000849,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
893,3002733,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
894,1000851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
895,3002737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
896,1000833,1,1,1,It helps plan for the crops to be grown,1,3,0,0,1,0,0,0,0,NA,4,0,0,0,1,0,0,0,0,NA,3,NA
897,3002735,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
898,1000850,1,1,1,Determines the planting season,1,1,1,0,0,0,0,0,0,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
899,3002729,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
900,3002730,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
901,3002732,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
902,3002728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
903,3002736,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
904,3002731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
905,3001237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
906,3001741,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
907,1001555,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
908,1001709,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
909,1001729,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,3,NA
910,3002205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,2,NA
911,3002198,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,2,NA
912,3002204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
913,3002203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,2,NA
914,2000203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
915,2000202,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,5,NA
916,2000204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
917,2000257,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
918,2000201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
919,2000258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
920,2000259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
921,2000205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
922,1002521,1,1,1,Helping in determining the planting season.,1,1,1,0,0,0,0,0,0,NA,1 5 6,1,0,0,0,1,1,0,0,NA,3,NA
923,1002579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 6 7,1,0,0,0,1,1,1,0,NA,3,NA
924,4000924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
925,4000925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
926,4000926,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
927,4000927,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
928,4000928,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
929,4000929,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
930,4000930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
931,4000931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
932,1002143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
933,1002139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
934,1002140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
935,1002141,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4,1,0,1,1,0,0,0,0,NA,3,NA
936,1002142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,5,NA
937,1002451,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,5,NA
938,1002448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,5,NA
939,4000939,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 3,0,0,1,1,0,0,0,0,NA,0,NA
940,4000940,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6 5,1,0,0,0,1,1,0,0,NA,2,NA
941,4000941,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5 4,0,0,1,1,1,0,0,0,NA,1,NA
942,4000942,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 3,0,0,1,0,1,0,0,0,NA,1,NA
943,4000943,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
944,4000944,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 6,0,0,1,0,0,1,0,0,NA,1,NA
945,4000945,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,1,NA
946,4000946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 4,0,0,0,1,1,0,0,0,NA,2,NA
947,4000947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 5 4,0,0,0,1,1,1,0,0,NA,1,NA
948,4000948,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
949,4000949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6 7,0,0,0,0,1,1,1,0,NA,2,NA
950,4000950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4,0,0,1,1,0,0,0,0,NA,0,NA
951,4000951,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
952,4000952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,2,NA
953,4000953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
954,4000954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 5,0,0,0,1,1,0,0,0,NA,1,NA
955,4000955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
956,4000956,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
957,4000957,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,1,NA
958,4000958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 5,0,0,0,0,1,1,0,0,NA,3,NA
959,4000959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
960,4000960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,2,NA
961,4000961,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 3,0,0,1,1,0,0,0,0,NA,2,NA
962,4000962,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,1,NA
963,4000963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,2,NA
964,4000964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,1,NA
965,4000965,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4,0,0,1,1,0,0,0,0,NA,2,NA
966,1000418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
967,1000645,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
968,1000420,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 5,0,0,0,0,1,1,0,0,NA,3,NA
969,1000630,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,3,NA
970,1000629,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,3,NA
971,1000807,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,3,NA
972,1000808,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,5,NA
973,1000533,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,3,NA
974,1002376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 7,0,0,0,0,0,1,1,0,NA,3,NA
975,1000534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,NA,3,NA
976,1000535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,5,NA
977,1000809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
978,1002171,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
979,1002169,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
980,1002170,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
981,1002172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
982,1002449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,3,NA
983,1002450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,5,NA
984,1002378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,0,NA
985,1002375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 7,0,0,0,0,0,1,1,0,NA,0,NA
986,1000301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,4,NA
987,1000302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
988,1000312,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
989,1000146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 6,0,0,0,1,0,1,0,0,NA,4,NA
990,1002379,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,0,NA
991,1000059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,5,NA
992,1000060,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 6,1,0,0,1,0,1,0,0,NA,3,NA
993,1000554,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
994,1000553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,3,NA
995,1000546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,3,NA
996,1000467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
997,1000468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
998,1001978,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 6,1,0,0,1,0,1,0,0,NA,2,NA
999,1001981,1,1,1,Plan for planting time,1,2 4,0,1,0,1,0,0,0,NA,1 4 5,1,0,0,1,1,0,0,0,NA,2,NA
1000,1000679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 5,1,0,0,1,1,0,0,0,NA,5,NA
1001,1000677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,0,NA
1002,1001428,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,0,NA
1003,1001429,1,1,1,Planning planting time,1,2 4,0,1,0,1,0,0,0,NA,1 3 4 5,1,0,1,1,1,0,0,0,NA,3,NA
1004,1000778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 5,0,0,0,1,1,0,0,0,NA,0,NA
1005,1000780,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1006,1000776,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,0,NA
1007,1000775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,0,NA
1008,1000818,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,0,NA
1009,1000821,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,0,NA
1010,1000822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,0,NA
1011,1001396,1,1,0,NA,1,1 4,1,0,0,1,0,0,0,NA,1 7,1,0,0,0,0,0,1,0,NA,2,NA
1012,1000857,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1013,1000855,1,2,1,planning for farming is easier,1,2,0,1,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
1014,1000840,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
1015,1000842,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
1016,1000856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1017,1001645,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6 7,1,0,0,0,0,1,1,0,NA,0,NA
1018,1001647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
1019,1000491,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
1020,1000492,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
1021,1001401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1022,1000503,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1023,1000505,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
1024,1000560,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 6,1,0,0,0,1,1,0,0,NA,0,NA
1025,1001162,1,1,1,helps to plan the plantation season,1,4 2,0,1,0,1,0,0,0,NA,1 3 5,1,0,1,0,1,0,0,0,NA,2,NA
1026,1001461,1,1,1,helps easily to identify seasons such as plantation and harvesting,1,4 6,0,0,0,1,0,1,0,NA,1 7 5,1,0,0,0,1,0,1,0,NA,3,NA
1027,1001163,1,1,1,planning agricultural activities is easy,1,1 4,1,0,0,1,0,0,0,NA,1 7,1,0,0,0,0,0,1,0,NA,3,NA
1028,1001161,1,1,1,helps to plan better agricultural activities,1,4 6,0,0,0,1,0,1,0,NA,1 5 6,1,0,0,0,1,1,0,0,NA,3,NA
1029,1000746,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
1030,1000705,1,2,0,NA,1,6 4,0,0,0,1,0,1,0,NA,1 5 6 7,1,0,0,0,1,1,1,0,NA,3,NA
1031,1000502,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,0,NA
1032,1000835,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,0,NA
1033,1001448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6 4,1,0,0,1,0,1,0,0,NA,5,NA
1034,1001458,1,3,1,planning purpose,1,4 1 6,1,0,0,1,0,1,0,NA,1 4 5 6,1,0,0,1,1,1,0,0,NA,5,NA
1035,1001459,1,1,1,planning purpoe,1,1 5 4,1,0,0,1,1,0,0,NA,4 5 1 6,1,0,0,1,1,1,0,0,NA,5,NA
1036,1000846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 7 1 3,1,0,1,1,0,0,1,0,NA,5,NA
1037,1000485,1,1,1,planning purpose,1,6 4 1,1,0,0,1,0,1,0,NA,3 6 1,1,0,1,0,0,1,0,0,NA,5,NA
1038,1000484,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 6,1,0,0,1,0,1,0,0,NA,3,NA
1039,1000483,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
1040,1001095,1,1,1,Helps me to plan on when to plant,1,2,0,1,0,0,0,0,0,NA,5 6 7,0,0,0,0,1,1,1,0,NA,2,NA
1041,1001980,1,1,1,plan on the planting months,1,6,0,0,0,0,0,1,0,NA,4 6,0,0,0,1,0,1,0,0,NA,2,NA
1042,1001402,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 7,0,0,0,0,0,1,1,0,NA,3,NA
1043,1001488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 4 7,0,0,0,1,0,1,1,0,NA,3,NA
1044,1000048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
1045,1001447,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,None,5,NA
1046,1001451,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1047,1001452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,5,NA
1048,1001537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 5,0,0,0,1,1,0,0,0,NA,5,NA
1049,1001538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1050,1001540,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1051,1001427,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
1052,1000769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1053,1000331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
1054,1000773,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1055,1000771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
1056,1000774,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,7,999
1057,1000329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,5,NA
1058,1000229,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,5,NA
1059,1000260,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,5,NA
1060,1000259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1061,1000180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
1062,1001526,1,1,1,Helps in determining the planting season,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5 6 7,1,0,1,0,1,1,1,0,NA,5,NA
1063,1001376,1,1,1,Helps in determining the planting season,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 6 7,1,0,0,0,1,1,1,0,NA,5,NA
1064,1000064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5,1,0,1,0,1,0,0,0,NA,5,NA
1065,1000066,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5,1,0,1,0,1,0,0,0,NA,5,NA
1066,1001446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5,1,0,1,1,1,0,0,0,NA,5,NA
1067,1001544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 3,1,0,1,0,1,0,0,0,NA,5,NA
1068,1000559,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 5 3,1,0,1,1,1,0,0,0,NA,5,NA
1069,1000558,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5,1,0,1,0,1,0,0,0,NA,2,NA
1070,1001101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5,1,0,1,1,1,0,0,0,NA,5,NA
1071,1001102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 5 3 1,1,0,1,1,1,0,0,0,NA,5,NA
1072,1002592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,999,0,NA
1073,1002593,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
1074,1002596,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
1075,1002595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,3,NA
